ID,House Number:
18,ChIJ-cF3uZyB0IkREE3PIwgz0fU
19,ChIJvVIdb5uB0IkRa5YCsO0QMSk
38,ChIJ-cF3uZyB0IkREE3PIwgz0fU
39,ChIJvVIdb5uB0IkRa5YCsO0QMSk
40,ChIJvVIdb5uB0IkRa5YCsO0QMSk
41,ChIJvVIdb5uB0IkRa5YCsO0QMSk
42,ChIJvVIdb5uB0IkRa5YCsO0QMSk
43,ChIJmU-YF5uB0IkRounzMFJMCjw
44,ChIJmU-YF5uB0IkRounzMFJMCjw
45,ChIJmU-YF5uB0IkRounzMFJMCjw
46,ChIJmU-YF5uB0IkRounzMFJMCjw
47,ChIJmU-YF5uB0IkRounzMFJMCjw
48,ChIJmU-YF5uB0IkRounzMFJMCjw
49,ChIJmU-YF5uB0IkRounzMFJMCjw
50,ChIJmU-YF5uB0IkRounzMFJMCjw
51,ChIJmU-YF5uB0IkRounzMFJMCjw
52,ChIJmU-YF5uB0IkRounzMFJMCjw
53,ChIJmU-YF5uB0IkRounzMFJMCjw
54,ChIJdbG29JOB0IkRI4wIu2vNEPg
55,ChIJ37MkRo6B0IkRqjRV95LZdMM
56,ChIJ37MkRo6B0IkRqjRV95LZdMM
57,ChIJ37MkRo6B0IkRqjRV95LZdMM
58,ChIJT587Po6B0IkRokPrMPIDiew
59,ChIJw1EG7ZGB0IkRHvVa_yqHqJs
60,ChIJhdBNf5KB0IkRH3T9Mrqh2W8
61,ChIJjz1jmo2B0IkR-iOdwaI1wX8
62,ChIJjz1jmo2B0IkR-iOdwaI1wX8
63,ChIJjz1jmo2B0IkR-iOdwaI1wX8
64,ChIJjz1jmo2B0IkR-iOdwaI1wX8
65,ChIJjz1jmo2B0IkR-iOdwaI1wX8
66,ChIJjz1jmo2B0IkR-iOdwaI1wX8
67,ChIJv-sdOo6B0IkRptCAaAn5UEo
68,ChIJv-sdOo6B0IkRptCAaAn5UEo
69,ChIJv-sdOo6B0IkRptCAaAn5UEo
70,ChIJv-sdOo6B0IkRptCAaAn5UEo
71,EiYzMDMgQ29sbGVnZSBBdmUsIEl0aGFjYSwgTlkgMTQ4NTAsIFVTQSIxEi8KFAoSCWf83P-NgdCJEcEuYqBhuXZyEK8CKhQKEgnfzMwBkoHQiREXngNh-GSJNQ
72,ChIJKxV0DZKB0IkR6VfoK2TpG0g
73,ChIJl4d0mI2B0IkRJr14kZu9mDw
74,ChIJkw8SBJKB0IkRkojFe9HKv34
75,ChIJ94iv4IKB0IkRdM5upWgn5Qo
76,ChIJQfZoco2B0IkRB0TtZkWzCjQ
77,EiY0MDEgRWxtd29vZCBBdmUsIEl0aGFjYSwgTlkgMTQ4NTAsIFVTQSIxEi8KFAoSCV2w1wiNgdCJET1o4UcUnXtAEJEDKhQKEgnrxiWlkoHQiRGuPhps35YHGQ
78,ChIJ-553pu2B0IkRcY-AVZmCoUU
79,ChIJXZ24xo2B0IkR0_S2O1RmdhA
126,ChIJzaxbyI-B0IkRkBDeKpu3PVg
127,ChIJ30G3O46B0IkRCFbV7h3I5Ak
128,ChIJv-sdOo6B0IkRptCAaAn5UEo
129,ChIJDUrgc5KB0IkRM3gqwikS9Xg
130,ChIJ64UWPYCB0IkRCDhLwJO9_DY
131,ChIJ64UWPYCB0IkRCDhLwJO9_DY
132,ChIJJZbotRuC0IkRK6M-G5Du1zY
133,ChIJ09gmB46B0IkRTxDDVGH__2M
134,ChIJ09gmB46B0IkRTxDDVGH__2M
135,ChIJ218A_5GB0IkRZ1C9D4fLz2E
136,ChIJ218A_5GB0IkRZ1C9D4fLz2E
137,ChIJX7Bk4Y2B0IkRZg1jLiJmszI
139,ChIJjz1jmo2B0IkR-iOdwaI1wX8
140,ChIJjz1jmo2B0IkR-iOdwaI1wX8
141,ChIJ50WPX42B0IkRw3sQdtBvveo
142,ChIJKxV0DZKB0IkR6VfoK2TpG0g
143,ChIJF3R45I2B0IkRFArz05Dmvn4
144,ChIJDUrgc5KB0IkRM3gqwikS9Xg
145,ChIJqzZhMZKB0IkRWlo9IvOhjoQ
146,ChIJ30jd3o2B0IkRpp98onIb_68
149,ChIJcSejmI2B0IkRBobdI90pigY
150,ChIJcSejmI2B0IkRBobdI90pigY
151,ChIJjz1jmo2B0IkR-iOdwaI1wX8
152,ChIJjz1jmo2B0IkR-iOdwaI1wX8
153,ChIJjz1jmo2B0IkR-iOdwaI1wX8
